 "Train Predictions" Actuals
469 5.5982614 5
470 5.399781 4
471 5.350515 4
472 5.097873 6
473 5.3978796 2
474 5.030566 3
475 4.8833337 7
476 5.1022897 12
477 5.380395 7
478 5.2110605 8
479 5.6468616 6
480 5.8277116 8
481 5.940731 5
482 5.705519 8
483 5.7999225 7
484 5.7262 4
485 5.6227245 5
486 5.5354557 2
487 5.403386 5
488 5.2926774 4
489 4.944777 4
490 4.935163 7
491 4.9612536 3
492 5.152962 5
493 5.1653776 6
494 5.324345 7
495 5.505738 7
496 5.370029 3
497 5.4167027 5
498 5.522374 8
499 5.64708 7
500 5.554542 7
501 5.4452014 6
502 5.6631417 7
503 5.7969823 4
504 5.607899 7
505 5.672939 3
506 5.422545 2
507 5.2206674 5
508 5.0862937 9
509 5.356835 5
510 4.9543014 10
511 5.4061937 6
512 5.6765795 1
513 5.457284 5
514 5.4273157 10
515 5.7057996 5
516 5.229772 3
517 4.976541 2
518 5.288488 8
519 5.5806904 5
520 5.065552 6
521 5.0450845 7
522 5.375756 11
523 5.8424325 10
524 5.7630982 5
525 5.71544 5
526 5.75617 7
527 5.873029 5
528 5.6856804 4
529 5.372045 2
530 5.2146397 5
531 5.3104787 7
532 5.160436 9
533 5.2193727 9
534 5.417231 6
535 5.691556 7
536 5.8277974 5
537 5.7779818 11
538 5.895045 14
539 5.850518 7
540 5.778235 3
541 5.6137166 7
542 5.8813195 6
543 5.821689 3
544 5.3526316 3
545 5.094829 6
546 5.4293156 4
547 5.1253467 6
548 4.9867735 3
549 5.0535617 3
550 5.1803055 5
551 5.079163 2
552 4.9073806 9
553 4.8862567 3
554 4.8967543 11
555 5.4013314 7
556 5.412986 9
557 5.821409 4
558 5.5387826 7
559 5.858687 8
560 5.790152 8
561 5.800693 5
562 5.5544086 7
563 5.7781663 7
564 5.7976265 3
565 5.5404534 5
566 5.4559503 10
567 5.707194 9
568 5.6506433 7
569 5.526187 10
570 5.864905 9
571 5.983401 14
572 6.0133166 4
573 5.735096 9
574 5.9394817 4
575 5.7526965 6
576 5.792837 1
577 5.165037 3
578 5.2675395 8
579 5.039459 7
580 5.141862 6
581 4.9676213 5
582 5.4511085 3
583 5.541831 6
584 5.527341 7
585 5.466991 9
586 5.4872537 3
587 5.2920165 8
588 5.6976824 2
589 5.4497237 4
590 5.4002967 7
591 5.194659 7
592 5.4739122 6
593 5.1649575 3
594 5.362833 6
595 5.6028733 12
596 5.729873 2
597 5.2716055 5
598 5.2958894 9
599 5.7110925 7
600 5.726729 11
601 5.4863467 7
602 5.7639832 12
603 5.9916415 7
604 5.8698087 9
605 5.9782863 3
606 5.678888 4
607 5.70641 3
608 5.4142003 2
609 5.1330523 10
610 4.8536353 3
611 4.8381515 10
612 5.175324 5
613 5.347691 3
614 5.5309258 3
615 5.20066 7
616 5.588781 4
617 5.051744 13
618 5.268474 3
619 5.25694 6
620 5.586023 7
621 5.6115117 6
622 5.7561274 4
623 5.287373 5
624 5.5329413 4
625 5.4498177 5
626 5.3222704 6
627 5.246794 9
628 5.4923525 7
629 5.5091963 11
630 5.781798 8
631 5.842473 3
632 5.6903653 9
633 5.8429065 4
634 5.708611 7
635 5.620128 10
636 5.5948915 11
637 5.887653 6
638 5.6557426 3
639 5.6552615 5
640 5.741138 6
641 5.691633 7
642 5.427117 4
643 5.2051373 5
644 5.450994 10
645 5.6908975 4
646 5.491719 3
647 5.2604036 4
648 5.391545 11
649 5.701368 4
650 5.1116962 5
651 5.2455926 4
652 5.428914 6
653 5.6501517 12
654 5.480826 2
655 5.263271 2
656 5.1740713 2
657 5.1970525 7
658 5.3425426 2
659 4.005834 3
660 4.3066225 10
661 5.0138717 13
662 5.544861 5
663 5.2245564 4
664 5.517167 6
665 5.814435 3
666 5.5937552 12
667 5.481704 9
668 5.5271115 3
669 5.4446225 6
670 5.5620394 4
671 5.7048545 6
672 5.5478506 2
673 4.9679613 8
674 5.410942 3
675 5.090969 1
676 4.902021 4
677 4.7036614 3
678 4.9487815 2
679 3.9409177 5
680 4.1131787 5
681 4.7591753 8
682 4.9336476 4
683 5.053691 4
684 5.363966 5
685 5.425851 3
686 5.326579 4
687 4.9726295 5
688 5.0526233 2
689 4.8713193 2
690 4.539475 11
691 5.0666323 7
692 5.129256 2
693 4.8358717 6
694 5.36114 6
695 5.7079043 5
696 5.3666897 3
697 5.009327 6
698 5.460806 5
699 5.3634715 9
700 5.4214616 5
701 5.3375573 5
702 5.551594 3
703 5.4145074 5
704 5.5302224 4
705 5.1610603 14
706 5.4098496 6
707 5.3095517 5
708 5.5175595 4
709 5.551191 6
710 5.787929 7
711 5.521471 9
712 5.562767 7
713 5.5940876 8
714 5.7949185 5
715 5.7438655 6
716 5.78155 7
717 5.7398295 2
718 5.443443 2
719 5.134 5
720 5.2186255 7
721 5.1613297 9
722 4.910222 6
723 5.3026156 9
724 5.756367 4
725 5.682812 2
726 5.504287 5
727 5.438949 5
728 5.403231 1
729 4.568339 6
730 4.728131 6
731 5.1591473 5
732 5.0596313 5
733 5.0169253 10
734 5.686273 4
735 5.483936 4
736 5.4102063 4
737 5.435559 6
738 5.576413 2
739 4.9074793 3
740 4.8833337 5
741 4.9824595 3
742 4.8704467 5
743 4.5666065 5
744 4.970369 2
745 4.9492755 4
746 4.8557606 6
747 5.150224 6
748 5.101669 10
749 5.2256546 2
750 5.284596 7
751 5.595611 3
752 5.4279623 7
753 5.563601 6
754 5.1670027 9
755 5.6493735 6
756 5.486708 6
757 5.7158237 9
758 5.809709 8
759 5.8594933 5
760 5.6532044 6
761 5.715582 6
762 5.771109 4
763 5.5582232 4
764 5.3540235 6
765 5.4594054 8
766 5.4946375 4
767 5.2610345 4
768 5.338671 4
769 5.435539 4
770 5.355407 2
771 4.7870917 3
772 4.712339 9
773 4.9663177 5
774 4.9275956 4
775 4.9431334 10
776 5.5478616 5
777 5.6580987 4
778 5.3878703 4
779 5.4056234 5
780 5.5736957 6
781 5.2708793 11
782 5.4406505 16
783 5.654003 15
784 5.8016133 6
785 5.78617 8
786 5.967509 6
787 5.9514546 6
788 5.8855767 3
789 5.5039554 5
790 5.5616784 7
791 5.493326 5
792 5.3554945 5
793 5.241409 10
794 5.662498 9
795 5.7580705 3
796 5.464028 5
797 5.592777 11
798 5.8993645 3
799 5.4806404 2
800 5.0522213 13
801 5.636461 4
802 5.5052543 4
803 5.037852 6
804 5.3901825 2
805 5.481296 5
806 5.0375457 3
807 4.9625444 3
808 4.9094796 6
809 4.7111115 3
810 4.9269614 2
811 4.5865645 5
812 4.8510623 9
813 5.2537103 2
814 4.7152085 2
815 4.7846503 3
816 5.0890746 3
817 4.9523277 5
818 4.0703835 3
819 4.317918 3
820 4.590881 6
821 4.892419 2
822 4.835855 5
823 4.7566986 2
824 4.721994 4
825 4.9102397 3
826 4.4203234 11
827 5.116245 3
828 4.779406 6
829 5.270721 5
830 5.3902593 3
831 5.484803 3
832 4.95509 4
833 5.1516066 2
834 4.704593 4
835 4.4595065 1
836 4.241429 2
837 4.129859 4
838 3.8884265 8
839 4.4903855 5
840 4.4473853 3
841 4.9285808 4
842 5.2790065 4
843 5.3649716 5
844 5.0521197 2
845 4.6986213 10
846 5.2032294 4
847 5.131861 4
848 5.187327 8
849 5.378367 5
850 5.628555 1
851 5.000566 2
852 4.981855 5
853 5.159105 4
854 4.5074983 8
